Agnaktor Helm : Agnaktor Carapace x4, Agnaktor Fin+ x1, Ioprey Hide+ x4 : 4 炎戈竜の堅殻, 1 炎戈竜の上ヒレ, 4 イーオスの上皮
Agnaktor Mail : Agnaktor Carapace x2, Agnaktor Fin+ x1, Firecell Stone x1 : 2 炎戈竜の堅殻, 1 炎戈竜の上ヒレ, 1 獄炎石
Agnaktor Vambraces : Agnaktor Carapace x4, B.Tigrex Claw+ x2, Firestone x4 : 4 炎戈竜の堅殻, 2 黒轟竜の尖爪, 4 紅蓮石
Agnaktor Faulds : Agnaktor Carapace x2, Wyvern Stone x1, Ioprey Scale+ x6 : 2 炎戈竜の堅殻, 1 竜玉, 6 イーオスの上鱗
Agnaktor Greaves : Agnaktor Carapace x3, Brachydios Carapace x3, Ioprey Scale+ x4 : 3 炎戈竜の堅殻, 3 砕竜の堅殻, 4 イーオスの上鱗
Agnaktor Cap : Agnaktor Carapace x4, Agnaktor Fin+ x1, Ioprey Hide+ x4 : 4 炎戈竜の堅殻, 1 炎戈竜の上ヒレ, 4 イーオスの上皮
Agnaktor Vest : Agnaktor Carapace x2, Agnaktor Fin+ x1, Firecell Stone x1 : 2 炎戈竜の堅殻, 1 炎戈竜の上ヒレ, 1 獄炎石
Agnaktor Guards : Agnaktor Carapace x4, B.Tigrex Claw+ x2, Firestone x4 : 4 炎戈竜の堅殻, 2 黒轟竜の尖爪, 4 紅蓮石
Agnaktor Coat : Agnaktor Carapace x2, Wyvern Stone x1, Ioprey Scale+ x6 : 2 炎戈竜の堅殻, 1 竜玉, 6 イーオスの上鱗
Agnaktor Leggings : Agnaktor Carapace x3, Brachydios Carapace x3, Ioprey Scale+ x4 : 3 炎戈竜の堅殻, 3 砕竜の堅殻, 4 イーオスの上鱗
Akatsuki Kabuto : Lao Shan Horn x1, Lao Shan Shell x4, Brachydios Scalp x1 : 1 老山龍の角, 4 老山龍の甲殻, 1 砕竜の頭殻
Akatsuki Doate : Lao Shan Shell x4, Firestone x2, Tigrex Scalp x1 : 4 老山龍の甲殻, 2 紅蓮石, 1 轟竜の頭殻
Akatsuki Kote : Lao Shan Shell x3, Lao Shan Claw x1, Rathalos Webbing x2 : 3 老山龍の甲殻, 1 老山龍の大爪, 2 火竜の翼膜
Akatsuki Koshiate : Lao Shan Shell x4, Dragonite Ore x3, Gravios Shell x5 : 4 老山龍の甲殻, 3 ドラグライト鉱石, 5 鎧竜の甲殻
Akatsuki Gusoku : Lao Shan Claw x3, Lao Shan Shell x5, Rathian Spike x2 : 3 老山龍の大爪, 5 老山龍の甲殻, 2 雌火竜の棘
Akebono Eboshi : Lao Shan Horn x1, Lao Shan Shell x4, Brachydios Scalp x1 : 1 老山龍の角, 4 老山龍の甲殻, 1 砕竜の頭殻
Akebono Doate : Lao Shan Shell x4, Firestone x2, Tigrex Scalp x1 : 4 老山龍の甲殻, 2 紅蓮石, 1 轟竜の頭殻
Akebono Kote : Lao Shan Shell x3, Lao Shan Claw x1, Rathalos Webbing x2 : 3 老山龍の甲殻, 1 老山龍の大爪, 2 火竜の翼膜
Akebono Koshiate : Lao Shan Shell x4, Dragonite Ore x3, Gravios Shell x5 : 4 老山龍の甲殻, 3 ドラグライト鉱石, 5 鎧竜の甲殻
Akebono Gusoku : Lao Shan Claw x3, Lao Shan Shell x5, Rathian Spike x2 : 3 老山龍の大爪, 5 老山龍の甲殻, 2 雌火竜の棘
Alloy Helm S : Carbalite Ore x1, Levitalite Ore x1, Dragonite Ore x5, Ice Crystal x3 : 1 カブレライト鉱石, 1 レビテライト鉱石, 5 ドラグライト鉱石, 3 氷結晶
Shinonome Koshiate : Mohran Brace x4, Mohran Rockskin x6, Mohran Scale x2, Rathalos Plate x1 : 4 豪山龍の腕甲, 6 豪山龍の甲岩殻, 2 豪山龍の紅鱗, 1 火竜の逆鱗
Shinonome Hakama : Mohran Scale x5, Mohran Rockskin x6, Dragonite Ore x5, Earth Dragonstone x3 : 5 豪山龍の紅鱗, 6 豪山龍の甲岩殻, 5 ドラグライト鉱石, 3 豪龍岩
Silver Sol Helm : S.Rathalos Scale+ x5, Elder Dragon Blood x1, Rath Gleem x3, Novacrystal x1 : 5 銀火竜の上鱗, 1 古龍の血, 3 火竜の煌液, 1 ノヴァクリスタル
Silver Sol Mail : S.Rathalos Carapace x5, S.Rathalos Scale+ x6, Rathalos Wing x3, Monster Hardbone x3 : 5 銀火竜の堅殻, 6 銀火竜の上鱗, 3 火竜の翼, 3 堅竜骨
Silver Sol Vambraces : S.Rathalos Tail x1, Rath Medulla x2, Fire Wyvern Claw x4, Firecell Stone x3 : 1 銀火竜の尻尾, 2 火竜の延髄, 4 火竜の翼爪, 3 獄炎石
Silver Sol Coil : S.Rathalos Carapace x5, Rathalos Wing x3, Rathalos Ruby x2, Inferno Sac x3 : 5 銀火竜の堅殻, 3 火竜の翼, 2 火竜の紅玉, 3 爆炎袋
Silver Sol Greaves : S.Rathalos Carapace x5, S.Rathalos Scale+ x5, Rath Gleem x4, Novacrystal x1 : 5 銀火竜の堅殻, 5 銀火竜の上鱗, 4 火竜の煌液, 1 ノヴァクリスタル
Silver Sol Cap : S.Rathalos Scale+ x5, Elder Dragon Blood x1, Rath Gleem x3, Novacrystal x1 : 5 銀火竜の上鱗, 1 古龍の血, 3 火竜の煌液, 1 ノヴァクリスタル
Silver Sol Vest : S.Rathalos Carapace x5, S.Rathalos Scale+ x6, Rathalos Wing x3, Monster Hardbone x3 : 5 銀火竜の堅殻, 6 銀火竜の上鱗, 3 火竜の翼, 3 堅竜骨
Silver Sol Guards : S.Rathalos Tail x1, Rath Medulla x2, Fire Wyvern Claw x4, Firecell Stone x3 : 1 銀火竜の尻尾, 2 火竜の延髄, 4 火竜の翼爪, 3 獄炎石
Silver Sol Coat : S.Rathalos Carapace x5, Rathalos Wing x3, Rathalos Ruby x2, Inferno Sac x3 : 5 銀火竜の堅殻, 3 火竜の翼, 2 火竜の紅玉, 3 爆炎袋
Silver Sol Leggings : S.Rathalos Carapace x5, S.Rathalos Scale+ x5, Rath Gleem x4, Novacrystal x1 : 5 銀火竜の堅殻, 5 銀火竜の上鱗, 4 火竜の煌液, 1 ノヴァクリスタル
Skull Hood : Firecell Stone x3, Dragonbone Relic x5, Unkown Skull x5, Mystery Bone x10 : 3 獄炎石, 5 いにしえの龍骨, 5 なぞの頭骨, 10 なぞの骨
Skull Face : Firecell Stone x3, Dragonbone Relic x5, Unkown Skull x5, Mystery Bone x10 : 3 獄炎石, 5 いにしえの龍骨, 5 なぞの頭骨, 10 なぞの骨
Slagtoth Head S : Slagtoth Hide+ x4, Slagtoth Hide x3, Quality Pelt x2 : 4 垂皮竜の上皮, 3 垂皮竜の皮, 2 上質な毛皮
Slagtoth Cloak S : Slagtoth Hide+ x2, Slagtoth Hide x5, Quality Pelt x2 : 2 垂皮竜の上皮, 5 垂皮竜の皮, 2 上質な毛皮
Slagtoth Hood S : Slagtoth Hide+ x4, Slagtoth Hide x3, Quality Pelt x2 : 4 垂皮竜の上皮, 3 垂皮竜の皮, 2 上質な毛皮
Slagtoth Cape S : Slagtoth Hide+ x2, Slagtoth Hide x5, Quality Pelt x2 : 2 垂皮竜の上皮, 5 垂皮竜の皮, 2 上質な毛皮
SlagtothCape : Slagtoth Hide x4, Machalite Ore x2, Warm Pelt x3 : 4 垂皮竜の皮, 2 マカライト鉱石, 3 暖かい毛皮
SlagtothCloak : Slagtoth Hide x4, Machalite Ore x2, Warm Pelt x3 : 4 垂皮竜の皮, 2 マカライト鉱石, 3 暖かい毛皮
SlagtothHead : Slagtoth Hide x2, Machalite Ore x4, Warm Pelt x3 : 2 垂皮竜の皮, 4 マカライト鉱石, 3 暖かい毛皮
SlagtothHood : Slagtoth Hide x2, Machalite Ore x4, Warm Pelt x3 : 2 垂皮竜の皮, 4 マカライト鉱石, 3 暖かい毛皮
Star Luke Helm : Studio Pass G x1, G.Rathian Carapace x3, A.Rathalos Scale+ x2, G.Rathian Spike+ x4 : 1 スタジオＧパス, 3 金火竜の堅殻, 2 蒼火竜の上鱗, 4 金火竜の上棘
Star Luke Mail : Studio Pass G x1, G.Rathian Scale+ x3, A.Rathalos Carapace x4, Rath Gleem x2 : 1 スタジオＧパス, 3 金火竜の上鱗, 4 蒼火竜の堅殻, 2 火竜の煌液
Star Luke Vambraces : Studio Pass G x1, G.Rathian Carapace x2, A.Rathalos Wing x3, Guild Ticket S x3 : 1 スタジオＧパス, 2 金火竜の堅殻, 3 蒼火竜の翼, 3 ギルドチケットＳ
Star Luke Coil : Studio Pass G x2, G.Rathian Carapace x2, A.Rathalos Scale+ x2, Rathian Ruby x1 : 2 スタジオＧパス, 2 金火竜の堅殻, 2 蒼火竜の上鱗, 1 雌火竜の紅玉
Star Luke Greaves : Studio Pass G x1, G.Rathian Scale+ x4, A.Rathalos Carapace x3, Rathalos Ruby x1 : 1 スタジオＧパス, 4 金火竜の上鱗, 3 蒼火竜の堅殻, 1 火竜の紅玉
Star Luke Cap : Studio Pass G x1, G.Rathian Carapace x3, A.Rathalos Scale+ x2, G.Rathian Spike+ x4 : 1 スタジオＧパス, 3 金火竜の堅殻, 2 蒼火竜の上鱗, 4 金火竜の上棘
Star Luke Vest : Studio Pass G x1, G.Rathian Scale+ x3, A.Rathalos Carapace x4, Rath Gleem x2 : 1 スタジオＧパス, 3 金火竜の上鱗, 4 蒼火竜の堅殻, 2 火竜の煌液
Star Luke Guards : Studio Pass G x1, G.Rathian Carapace x2, A.Rathalos Wing x3, Guild Ticket S x3 : 1 スタジオＧパス, 2 金火竜の堅殻, 3 蒼火竜の翼, 3 ギルドチケットＳ
Star Luke Coat : Studio Pass G x2, G.Rathian Carapace x2, A.Rathalos Scale+ x2, Rathian Ruby x1 : 2 スタジオＧパス, 2 金火竜の堅殻, 2 蒼火竜の上鱗, 1 雌火竜の紅玉
Star Luke Leggings : Studio Pass G x1, G.Rathian Scale+ x4, A.Rathalos Carapace x3, Rathalos Ruby x1 : 1 スタジオＧパス, 4 金火竜の上鱗, 3 蒼火竜の堅殻, 1 火竜の紅玉
Strategic Glasses : Gravios Coin x5, Novacrystal x5 : 5 撃龍王のコイン, 5 ノヴァクリスタル
Tetsukabra Helm S : Tetsukabra Jaw+ x2, Tetsukabra Carapace x3, Stern Skull x2, Hercudrome x5 : 2 鬼蛙の巨大牙, 3 鬼蛙の堅殻, 2 厳めしい頭骨, 5 ドスヘラクレス
Tetsukabra Mail S : Tetsukabra Scale+ x3, Tetsukabra Claw+ x2, Rhenoplos Carapace x3, Slimy Oil+ x3 : 3 鬼蛙の上鱗, 2 鬼蛙の尖爪, 3 草食竜の堅殻, 3 カワズの殿油
Tetsukabra Vambraces S : Tetsukabra Claw+ x2, Tetsukabra Carapace x4, Tetsukabra Scale+ x2, Hercudrome x5 : 2 鬼蛙の尖爪, 4 鬼蛙の堅殻, 2 鬼蛙の上鱗, 5 ドスヘラクレス
Tetsukabra Faulds S : Tetsukabra Scale+ x4, Rhenoplos Carapace x3, Stoutbone x2, Might Seed x9 : 4 鬼蛙の上鱗, 3 草食竜の堅殻, 2 堅牢な骨, 9 怪力の種
Tetsukabra Greaves S : Tetsukabra Claw+ x2, Tetsukabra Carapace x3, Tetsukabra Scale+ x3, Stoutbone x2 : 2 鬼蛙の尖爪, 3 鬼蛙の堅殻, 3 鬼蛙の上鱗, 2 堅牢な骨
Tetsukabra Cap S : Tetsukabra Jaw+ x2, Tetsukabra Carapace x3, Stern Skull x2, Hercudrome x5 : 2 鬼蛙の巨大牙, 3 鬼蛙の堅殻, 2 厳めしい頭骨, 5 ドスヘラクレス
Tetsukabra Vest S : Tetsukabra Scale+ x3, Tetsukabra Claw+ x2, Rhenoplos Carapace x3, Slimy Oil+ x3 : 3 鬼蛙の上鱗, 2 鬼蛙の尖爪, 3 草食竜の堅殻, 3 カワズの殿油
Tetsukabra Guards S : Tetsukabra Claw+ x2, Tetsukabra Carapace x4, Tetsukabra Scale+ x2, Hercudrome x5 : 2 鬼蛙の尖爪, 4 鬼蛙の堅殻, 2 鬼蛙の上鱗, 5 ドスヘラクレス
Tetsukabra Coat S : Tetsukabra Scale+ x4, Rhenoplos Carapace x3, Stoutbone x2, Might Seed x9 : 4 鬼蛙の上鱗, 3 草食竜の堅殻, 2 堅牢な骨, 9 怪力の種
Tetsukabra Leggings S : Tetsukabra Claw+ x2, Tetsukabra Carapace x3, Tetsukabra Scale+ x3, Stoutbone x2 : 2 鬼蛙の尖爪, 3 鬼蛙の堅殻, 3 鬼蛙の上鱗, 2 堅牢な骨
Tetsukabra Helm : Tetsukabra Jaw x2, Stern Skull x1, Tetsukabra Shell x2, Machalite Ore x2 : 2 鬼蛙の大牙, 1 厳めしい頭骨, 2 鬼蛙の甲殻, 2 マカライト鉱石
Tetsukabra Mail : Tetsukabra Scale x2, Tetsukabra Claw x1, Rhenoplos Shell x3, Gluehopper x2 : 2 鬼蛙の鱗, 1 鬼蛙の爪, 3 草食竜の甲殻, 2 のりこねバッタ
Tetsukabra Vambraces : Tetsukabra Claw x1, Tetsukabra Shell x2, Tetsukabra Scale x2, Slimy Oil x2 : 1 鬼蛙の爪, 2 鬼蛙の甲殻, 2 鬼蛙の鱗, 2 カワズの油
Tetsukabra Faulds : Tetsukabra Scale x3, Rhenoplos Scalp x2, Jumbo Bone x3, Mystery Bone x4 : 3 鬼蛙の鱗, 2 草食竜の頭殻, 3 大きな骨, 4 なぞの骨
Tetsukabra Greaves : Tetsukabra Claw x2, Tetsukabra Shell x3, Rhenoplos Shell x2, Earth Crystal x3 : 2 鬼蛙の爪, 3 鬼蛙の甲殻, 2 草食竜の甲殻, 3 大地の結晶
Tetsukabra Cap : Tetsukabra Jaw x2, Stern Skull x1, Tetsukabra Shell x2, Machalite Ore x2 : 2 鬼蛙の大牙, 1 厳めしい頭骨, 2 鬼蛙の甲殻, 2 マカライト鉱石
Tetsukabra Vest : Tetsukabra Scale x2, Tetsukabra Claw x1, Rhenoplos Shell x3, Gluehopper x2 : 2 鬼蛙の鱗, 1 鬼蛙の爪, 3 草食竜の甲殻, 2 のりこねバッタ
Tetsukabra Guards : Tetsukabra Claw x1, Tetsukabra Shell x2, Tetsukabra Scale x2, Slimy Oil x2 : 1 鬼蛙の爪, 2 鬼蛙の甲殻, 2 鬼蛙の鱗, 2 カワズの油
Tetsukabra Coat : Tetsukabra Scale x3, Rhenoplos Scalp x2, Jumbo Bone x3, Mystery Bone x4 : 3 鬼蛙の鱗, 2 草食竜の頭殻, 3 大きな骨, 4 なぞの骨
Tetsukabra Leggings : Tetsukabra Claw x2, Tetsukabra Shell x3, Rhenoplos Shell x2, Earth Crystal x3 : 2 鬼蛙の爪, 3 鬼蛙の甲殻, 2 草食竜の甲殻, 3 大地の結晶
Tigrex EX Helm : Seeker's Proof x2, Tigrex Agito x1, Akantor Spike x4, Akantor Gem x1 : 2 探求者の証, 1 轟竜のアギト, 4 覇竜の大棘, 1 覇竜の宝玉
Tigrex EX Mail : Seeker's Proof x1, Tigrex Claw+ x5, Akantor Scale+ x6, Sky Crystal x8 : 1 探求者の証, 5 轟竜の尖爪, 6 覇竜の上鱗, 8 天空の結晶
Tigrex EX Vambraces : Seeker's Proof x2, Tigrex Scale+ x6, Akantor Carapace x6, Firecell Stone x3 : 2 探求者の証, 6 轟竜の上鱗, 6 覇竜の堅殻, 3 獄炎石
Tigrex EX Faulds : Seeker's Proof x1, Tigrex Carapace x4, Akantor Claw x4, Wyvern Stone x3 : 1 探求者の証, 4 轟竜の堅殻, 4 覇竜の剛爪, 3 竜玉
Tigrex EX Greaves : Seeker's Proof x2, Tigrex Fang+ x5, Akantor Tail x2, Monster Hardbone x5 : 2 探求者の証, 5 轟竜の鋭牙, 2 覇竜の尻尾, 5 堅竜骨
Tigrex Helm U : B.Tigrex Fang+ x3, Tigrex Agito x1, Tigrex Scalp x2, Gravios Carapace x1 : 3 黒轟竜の鋭牙, 1 轟竜のアギト, 2 轟竜の頭殻, 1 鎧竜の堅殻
Tigrex Mail U : B.Tigrex Claw+ x5, B.Tigrex Carapace x4, B.Tigrex Fang+ x2, Firecell Stone x3 : 5 黒轟竜の尖爪, 4 黒轟竜の堅殻, 2 黒轟竜の鋭牙, 3 獄炎石
Tigrex Vambraces U : B.Tigrex Fang+ x3, B.Tigrex Scale+ x5, Monster Hardbone x3, Ioprey Scale+ x10 : 3 黒轟竜の鋭牙, 5 黒轟竜の上鱗, 3 堅竜骨, 10 イーオスの上鱗
Tigrex Faulds U : B.Tigrex Carapace x4, B.Tigrex Scale+ x6, Wyvern Stone x1, Ioprey Scale x8 : 4 黒轟竜の堅殻, 6 黒轟竜の上鱗, 1 竜玉, 8 イーオスの鱗
Tigrex Greaves U : B.Tigrex Scale+ x5, B.Tigrex Claw+ x5, B.Tigrex Carapace x3, Tetsukabra Carapace x2 : 5 黒轟竜の上鱗, 5 黒轟竜の尖爪, 3 黒轟竜の堅殻, 2 鬼蛙の堅殻
Tigrex Helm S : Tigrex Agito x1, Tigrex Fang+ x2, Tigrex Scale x5, Fleshy Hide+ x4 : 1 轟竜のアギト, 2 轟竜の鋭牙, 5 轟竜の鱗, 4 肉厚な上皮
Tigrex Mail S : Tigrex Claw+ x4, Tigrex Carapace x6, Tigrex Scalp x1 : 4 轟竜の尖爪, 6 轟竜の堅殻, 1 轟竜の頭殻
Tigrex Vambraces S : Tigrex Fang+ x3, Tigrex Scale+ x6, Monster Hardbone x2, Great Jaggi Hide x5 : 3 轟竜の鋭牙, 6 轟竜の上鱗, 2 堅竜骨, 5 狗竜の皮
Tigrex Faulds S : Tigrex Carapace x6, Tigrex Scale+ x5, Wyvern Stone x1, Fleshy Hide+ x3 : 6 轟竜の堅殻, 5 轟竜の上鱗, 1 竜玉, 3 肉厚な上皮
Tigrex Greaves S : Tigrex Scale+ x6, Tigrex Claw+ x4, Tigrex Shell x4, Kunchuu Carapace x4 : 6 轟竜の上鱗, 4 轟竜の尖爪, 4 轟竜の甲殻, 4 盾虫の堅殻
Tigrex EX Cap : Seeker's Proof x2, Tigrex Agito x1, Akantor Spike x4, Akantor Gem x1 : 2 探求者の証, 1 轟竜のアギト, 4 覇竜の大棘, 1 覇竜の宝玉
Tigrex EX Vest : Seeker's Proof x1, Tigrex Claw+ x5, Akantor Scale+ x6, Sky Crystal x8 : 1 探求者の証, 5 轟竜の尖爪, 6 覇竜の上鱗, 8 天空の結晶
Tigrex EX Guards : Seeker's Proof x2, Tigrex Scale+ x6, Akantor Carapace x6, Firecell Stone x3 : 2 探求者の証, 6 轟竜の上鱗, 6 覇竜の堅殻, 3 獄炎石
Tigrex EX Coat : Seeker's Proof x1, Tigrex Carapace x4, Akantor Claw x4, Wyvern Stone x3 : 1 探求者の証, 4 轟竜の堅殻, 4 覇竜の剛爪, 3 竜玉
Tigrex EX Leggings : Seeker's Proof x2, Tigrex Fang+ x5, Akantor Tail x2, Monster Hardbone x5 : 2 探求者の証, 5 轟竜の鋭牙, 2 覇竜の尻尾, 5 堅竜骨
Tigrex Cap U : B.Tigrex Fang+ x3, Tigrex Agito x1, Tigrex Scalp x2, Gravios Carapace x1 : 3 黒轟竜の鋭牙, 1 轟竜のアギト, 2 轟竜の頭殻, 1 鎧竜の堅殻
Tigrex Vest U : B.Tigrex Claw+ x5, B.Tigrex Carapace x4, B.Tigrex Fang+ x2, Firecell Stone x3 : 5 黒轟竜の尖爪, 4 黒轟竜の堅殻, 2 黒轟竜の鋭牙, 3 獄炎石
Tigrex Guards U : B.Tigrex Fang+ x3, B.Tigrex Scale+ x5, Monster Hardbone x3, Ioprey Scale+ x10 : 3 黒轟竜の鋭牙, 5 黒轟竜の上鱗, 3 堅竜骨, 10 イーオスの上鱗
Tigrex Coat U : B.Tigrex Carapace x4, B.Tigrex Scale+ x6, Wyvern Stone x1, Ioprey Scale x8 : 4 黒轟竜の堅殻, 6 黒轟竜の上鱗, 1 竜玉, 8 イーオスの鱗
Tigrex Leggings U : B.Tigrex Scale+ x5, B.Tigrex Claw+ x5, B.Tigrex Carapace x3, Tetsukabra Carapace x2 : 5 黒轟竜の上鱗, 5 黒轟竜の尖爪, 3 黒轟竜の堅殻, 2 鬼蛙の堅殻
Tigrex Cap S : Tigrex Agito x1, Tigrex Fang+ x2, Tigrex Scale x5, Fleshy Hide+ x4 : 1 轟竜のアギト, 2 轟竜の鋭牙, 5 轟竜の鱗, 4 肉厚な上皮
Tigrex Vest S : Tigrex Claw+ x4, Tigrex Carapace x6, Tigrex Scalp x1 : 4 轟竜の尖爪, 6 轟竜の堅殻, 1 轟竜の頭殻
Tigrex Guards S : Tigrex Fang+ x3, Tigrex Scale+ x6, Monster Hardbone x2, Great Jaggi Hide x5 : 3 轟竜の鋭牙, 6 轟竜の上鱗, 2 堅竜骨, 5 狗竜の皮
Tigrex Coat S : Tigrex Carapace x6, Tigrex Scale+ x5, Wyvern Stone x1, Fleshy Hide+ x3 : 6 轟竜の堅殻, 5 轟竜の上鱗, 1 竜玉, 3 肉厚な上皮
Tigrex Leggings S : Tigrex Scale+ x6, Tigrex Claw+ x4, Tigrex Shell x4, Kunchuu Carapace x4 : 6 轟竜の上鱗, 4 轟竜の尖爪, 4 轟竜の甲殻, 4 盾虫の堅殻
Tigrex Helm : Tigrex Scalp x1, Tigrex Fang x4, Tigrex Scale x3, Shark Scale x2 : 1 轟竜の頭殻, 4 轟竜の牙, 3 轟竜の鱗, 2 鮫肌の鱗
Tigrex Mail : Tigrex Claw x5, Tigrex Shell x3, Tigrex Tail x1, Fleshy Hide x6 : 5 轟竜の爪, 3 轟竜の甲殻, 1 轟竜の尻尾, 6 肉厚な皮
Tigrex Vambraces : Tigrex Fang x4, Tigrex Scale x3, Tigrex Claw x4, Great Jaggi Hide x2 : 4 轟竜の牙, 3 轟竜の鱗, 4 轟竜の爪, 2 狗竜の皮
Tigrex Faulds : Tigrex Shell x4, Tigrex Scale x4, Monster Bone+ x2, Great Jaggi Claw x3 : 4 轟竜の甲殻, 4 轟竜の鱗, 2 上竜骨, 3 狗竜の爪
Tigrex Greaves : Tigrex Scale x4, Tigrex Claw x5, Tigrex Shell x3, Great Jaggi Hide x3 : 4 轟竜の鱗, 5 轟竜の爪, 3 轟竜の甲殻, 3 狗竜の皮
Tigrex Cap : Tigrex Scalp x1, Tigrex Fang x4, Tigrex Scale x3, Shark Scale x2 : 1 轟竜の頭殻, 4 轟竜の牙, 3 轟竜の鱗, 2 鮫肌の鱗
Tigrex Vest : Tigrex Claw x5, Tigrex Shell x3, Tigrex Tail x1, Fleshy Hide x6 : 5 轟竜の爪, 3 轟竜の甲殻, 1 轟竜の尻尾, 6 肉厚な皮
Tigrex Guards : Tigrex Fang x4, Tigrex Scale x3, Tigrex Claw x4, Great Jaggi Hide x2 : 4 轟竜の牙, 3 轟竜の鱗, 4 轟竜の爪, 2 狗竜の皮
Tigrex Coat : Tigrex Shell x4, Tigrex Scale x4, Monster Bone+ x2, Great Jaggi Claw x3 : 4 轟竜の甲殻, 4 轟竜の鱗, 2 上竜骨, 3 狗竜の爪
Tigrex Leggings : Tigrex Scale x4, Tigrex Claw x5, Tigrex Shell x3, Great Jaggi Hide x3 : 4 轟竜の鱗, 5 轟竜の爪, 3 轟竜の甲殻, 3 狗竜の皮
Tokiwa Kabuto Ha : Mohran Scale+ x5, Rough Dragonhorn+ x4, Mohran Rockskin+ x5, Proof of Courage+ x1 : 5 豪山龍の上紅鱗, 4 荒々しい龍尖角, 5 豪山龍の堅岩殻, 1 勇気の証Ｇ
Tokiwa Muneate Ha : Mohran Rockskin+ x6, Earth Dragonstone x4, Elder Dragon Blood x1, Proof of Courage+ x1 : 6 豪山龍の堅岩殻, 4 豪龍岩, 1 古龍の血, 1 勇気の証Ｇ
Tokiwa Kote Ha : Mohran Scale+ x6, Mohran Brace+ x1, Rough Dragonhorn+ x2, Proof of Courage+ x1 : 6 豪山龍の上紅鱗, 1 豪山龍の上腕甲, 2 荒々しい龍尖角, 1 勇気の証Ｇ
Tokiwa Koshiate Ha : Mohran Brace+ x4, Mohran Rockskin+ x6, Mohran Scale+ x5, Proof of Courage+ x1 : 4 豪山龍の上腕甲, 6 豪山龍の堅岩殻, 5 豪山龍の上紅鱗, 1 勇気の証Ｇ
Tokiwa Gusoku Ha : Mohran Scale+ x5, Mohran Rockskin+ x6, Earth Dragongem x1, Proof of Courage+ x1 : 5 豪山龍の上紅鱗, 6 豪山龍の堅岩殻, 1 大地の龍玉, 1 勇気の証Ｇ
Tokiwa Kabuto : Rough Dragonhorn x4, Mohran Scale x5, Mohran Rockskin x3, Rathian Plate x1 : 4 荒々しい龍角, 5 豪山龍の紅鱗, 3 豪山龍の甲岩殻, 1 雌火竜の逆鱗
Tokiwa Muneate : Mohran Rockskin x6, Rough Dragonhorn x4, Earth Dragonstone x2, Sharpened Fang x5 : 6 豪山龍の甲岩殻, 4 荒々しい龍角, 2 豪龍岩, 5 とがった牙
Tokiwa Kote : Mohran Scale x6, Mohran Brace x1, Earth Dragongem x1, Machalite Ore x3 : 6 豪山龍の紅鱗, 1 豪山龍の腕甲, 1 大地の龍玉, 3 マカライト鉱石
Tokiwa Koshiate : Mohran Brace x4, Mohran Rockskin x6, Mohran Scale x2, Rathalos Plate x1 : 4 豪山龍の腕甲, 6 豪山龍の甲岩殻, 2 豪山龍の紅鱗, 1 火竜の逆鱗
Tokiwa Gusoku : Mohran Scale x5, Mohran Rockskin x6, Dragonite Ore x5, Earth Dragonstone x3 : 5 豪山龍の紅鱗, 6 豪山龍の甲岩殻, 5 ドラグライト鉱石, 3 豪龍岩
Tsuya Hachi : Lao Shan Horn x1, Lao Shan Shell x4, Brachydios Scalp x1 : 1 老山龍の角, 4 老山龍の甲殻, 1 砕竜の頭殻
Tsuya Muneate : Lao Shan Shell x4, Firestone x2, Tigrex Scalp x1 : 4 老山龍の甲殻, 2 紅蓮石, 1 轟竜の頭殻
Tsuya Kote : Lao Shan Shell x3, Lao Shan Claw x1, Rathalos Webbing x2 : 3 老山龍の甲殻, 1 老山龍の大爪, 2 火竜の翼膜
Tsuya Koshiate : Lao Shan Shell x4, Dragonite Ore x3, Gravios Shell x5 : 4 老山龍の甲殻, 3 ドラグライト鉱石, 5 鎧竜の甲殻
Tsuya Hakama : Lao Shan Claw x3, Lao Shan Shell x5, Rathian Spike x2 : 3 老山龍の大爪, 5 老山龍の甲殻, 2 雌火竜の棘
UNIQLO Head : UNIQLO Ticket x1, Tigrex Carapace x4, Rage Crystal x1, Wyvern Stone x1 : 1 ユニクロチケット, 4 轟竜の堅殻, 1 狂竜結晶, 1 竜玉
UNIQLO Jumper : UNIQLO Ticket x2, Tigrex Agito x3, Rage Crystal x2, Rage Crystal Fragment x2 : 2 ユニクロチケット, 3 轟竜のアギト, 2 狂竜結晶, 2 狂竜結晶の欠片
UNIQLO Watch : UNIQLO Ticket x1, B.Tigrex Scale+ x3, Tigrex Claw+ x1, Wyvern Stone x1 : 1 ユニクロチケット, 3 黒轟竜の上鱗, 1 轟竜の尖爪, 1 竜玉
UNIQLO Pouch : UNIQLO Ticket x1, B.Tigrex Carapace x2, B.Tigrex Scale+ x3, Rage Crystal Fragment x2 : 1 ユニクロチケット, 2 黒轟竜の堅殻, 3 黒轟竜の上鱗, 2 狂竜結晶の欠片
UNIQLO Pants : UNIQLO Ticket x2, B.Tigrex Carapace x3, Tigrex Claw+ x2, Rage Crystal Fragment x2 : 2 ユニクロチケット, 3 黒轟竜の堅殻, 2 轟竜の尖爪, 2 狂竜結晶の欠片
UNIQLO Cap : UNIQLO Ticket x1, Tigrex Carapace x4, Rage Crystal x1, Wyvern Stone x1 : 1 ユニクロチケット, 4 轟竜の堅殻, 1 狂竜結晶, 1 竜玉
