Leather Headgear : Warm Pelt x1, Iron Ore x1 : 1 暖かい毛皮, 1 鉄鉱石
Leather Vest : Bullfango Pelt x1, Iron Ore x1 : 1 ファンゴの毛皮, 1 鉄鉱石
Leather Gloves : Warm Pelt x2 : 2 暖かい毛皮
Leather Belt : Bullfango Pelt x1, Iron Ore x1 : 1 ファンゴの毛皮, 1 鉄鉱石
Leather Pants : Warm Pelt x2 : 2 暖かい毛皮
Piscine Mask : Kelbi Horn x2, Airweed x2, Mystery Bone x2 : 2 ケルビの角, 2 イキツギ藻, 2 なぞの骨
Piscine Belt : Hydro Hide x2, Broken Shell x2 : 2 水生獣の皮, 2 欠けた貝殻
Piscine Breeches : Hydro Hide x2, Big Fin x1 : 2 水生獣の皮, 1 大きなヒレ
Chainmail Headgear : Earth Crystal x1, Iron Ore x1 : 1 大地の結晶, 1 鉄鉱石
Chainmail Vest : Iron Ore x2, Warm Pelt x1 : 2 鉄鉱石, 1 暖かい毛皮
Chainmail Gloves : Iron Ore x1, Whetstone x2 : 1 鉄鉱石, 2 砥石
Chainmail Belt : Iron Ore x1, Warm Pelt x2 : 1 鉄鉱石, 2 暖かい毛皮
Chainmail Pants : Iron Ore x2, Warm Pelt x2 : 2 鉄鉱石, 2 暖かい毛皮
Loc Lac Shawl : Altaroth Stomach x1, Monster Fluid x3, Ice Crystal x3 : 1 甲虫の腹袋, 3 モンスターの体液, 3 氷結晶
Loc Lac Kilt : Altaroth Stomach x2, Altaroth Jaw x2, Ice Crystal x3 : 2 甲虫の腹袋, 2 甲虫の大顎, 3 氷結晶
Loc Lac Boots : Altaroth Jaw x3, Altaroth Stomach x2, Ice Crystal x3 : 3 甲虫の大顎, 2 甲虫の腹袋, 3 氷結晶
Hunter's Helm : Machalite Ore x1, Iron Ore x1, Carpenterbug x2 : 1 マカライト鉱石, 1 鉄鉱石, 2 セッチャクロアリ
Hunter's Mail : Iron Ore x2, Jaggi Scale x1, Monster Bone S x2 : 2 鉄鉱石, 1 ジャギィの鱗, 2 竜骨【小】
Hunter's Vambraces : Earth Crystal x1, Jaggi Scale x2, Ivy x1 : 1 大地の結晶, 2 ジャギィの鱗, 1 ツタの葉
Hunter's Faulds : Machalite Ore x2, Iron Ore x1, Carpenterbug x1 : 2 マカライト鉱石, 1 鉄鉱石, 1 セッチャクロアリ
Hunter's Greaves : Iron Ore x1, Earth Crystal x1, Monster Bone S x2 : 1 鉄鉱石, 1 大地の結晶, 2 竜骨【小】
Hunter's Cap : Machalite Ore x1, Iron Ore x1, Carpenterbug x2 : 1 マカライト鉱石, 1 鉄鉱石, 2 セッチャクロアリ
Hunter's Vest : Iron Ore x2, Jaggi Scale x1, Monster Bone S x2 : 2 鉄鉱石, 1 ジャギィの鱗, 2 竜骨【小】
Hunter's Guards : Earth Crystal x1, Jaggi Scale x2, Ivy x1 : 1 大地の結晶, 2 ジャギィの鱗, 1 ツタの葉
Hunter's Coat : Machalite Ore x2, Iron Ore x1, Carpenterbug x1 : 2 マカライト鉱石, 1 鉄鉱石, 1 セッチャクロアリ
Hunter's Leggings : Iron Ore x1, Earth Crystal x1, Monster Bone S x2 : 1 鉄鉱石, 1 大地の結晶, 2 竜骨【小】
Yukumo Kasa : Buy in Tanzia Port (1100z) : ※港店売り
Yukumo Dogi : Buy in Tanzia Port (1100z) : ※港店売り
Yukumo Kote : Buy in Tanzia Port (1100z) : ※港店売り
Yukumo Obi : Buy in Tanzia Port (1100z) : ※港店売り
Yukumo Hakama : Buy in Tanzia Port (1100z) : ※港店売り
Alloy Helm : Machalite Ore x3, Earth Crystal x2, Iron Ore x3 : 3 マカライト鉱石, 2 大地の結晶, 3 鉄鉱石
Alloy Mail : Machalite Ore x3, Pelagicite Ore x2, Iron Ore x2 : 3 マカライト鉱石, 2 シーブライト鉱石, 2 鉄鉱石
Alloy Vambraces : Machalite Ore x2, Earth Crystal x2, Iron Ore x4 : 2 マカライト鉱石, 2 大地の結晶, 4 鉄鉱石
Alloy Coil : Machalite Ore x2, Pelagicite Ore x2, Iron Ore x3 : 2 マカライト鉱石, 2 シーブライト鉱石, 3 鉄鉱石
Alloy Greaves : Machalite Ore x4, Earth Crystal x2, Iron Ore x2 : 4 マカライト鉱石, 2 大地の結晶, 2 鉄鉱石
Alloy Cap : Machalite Ore x3, Earth Crystal x2, Iron Ore x3 : 3 マカライト鉱石, 2 大地の結晶, 3 鉄鉱石
Alloy Vest : Machalite Ore x3, Pelagicite Ore x2, Iron Ore x2 : 3 マカライト鉱石, 2 シーブライト鉱石, 2 鉄鉱石
Alloy Guards : Machalite Ore x2, Earth Crystal x2, Iron Ore x4 : 2 マカライト鉱石, 2 大地の結晶, 4 鉄鉱石
Alloy Coat : Machalite Ore x2, Pelagicite Ore x2, Iron Ore x3 : 2 マカライト鉱石, 2 シーブライト鉱石, 3 鉄鉱石
Alloy Leggings : Machalite Ore x4, Earth Crystal x2, Iron Ore x2 : 4 マカライト鉱石, 2 大地の結晶, 2 鉄鉱石
Bone Helm : Big Fin x3, Unknown Skull x1, Sharpened Fang x2 : 3 大きなヒレ, 1 なぞの頭骨, 2 とがった牙
Bone Mail : Jumbo Bone x1, Mystery Bone x4, Sharpened Fang x2 : 1 大きな骨, 4 なぞの骨, 2 とがった牙
Bone Vambraces : Monster Bone S x3, Mystery Bone x3, Sharpened Fang x2 : 3 竜骨【小】, 3 なぞの骨, 2 とがった牙
Bone Faulds : Monster Bone S x3, Bone x3, Sharpened Fang x2 : 3 竜骨【小】, 3 棒状の骨, 2 とがった牙
Bone Greaves : Monster Bone M x2, Bone x2, Mystery Bone x4 : 2 竜骨【中】, 2 棒状の骨, 4 なぞの骨
Bone Cap : Big Fin x3, Unknown Skull x1, Sharpened Fang x2 : 3 大きなヒレ, 1 なぞの頭骨, 2 とがった牙
Bone Vest : Jumbo Bone x1, Mystery Bone x4, Sharpened Fang x2 : 1 大きな骨, 4 なぞの骨, 2 とがった牙
Bone Guards : Monster Bone S x3, Mystery Bone x3, Sharpened Fang x2 : 3 竜骨【小】, 3 なぞの骨, 2 とがった牙
Bone Coat : Monster Bone S x3, Bone x3, Sharpened Fang x2 : 3 竜骨【小】, 3 棒状の骨, 2 とがった牙
Bone Leggings : Monster Bone M x2, Bone x2, Mystery Bone x4 : 2 竜骨【中】, 2 棒状の骨, 4 なぞの骨
Bnahabra Hat : Bnahabra Shell x2, Bnahabra Wing x3, Killer Beetle x1, Carpenterbug x2 : 2 飛甲虫の甲殻, 3 飛甲虫の羽, 1 キラビートル, 2 セッチャクロアリ
Duramboros X Coat : Heavy Mossplate x4, Duram Cortex x6, Durambolite x1, Arzuros Cortex x3 : 4 尾槌竜の重苔甲, 6 尾槌竜の重殻, 1 ドボルストーン, 3 青熊獣の重殻
Duramboros X Leggings : Duram Cortex x3, Heavy Mossplate x5, Marbled Hump x4, Rhenoplos Bone x3 : 3 尾槌竜の重殻, 5 尾槌竜の重苔甲, 4 霜降りのコブ, 3 草食竜の重骨
Duramboros Z Helm : Duram Hardhorn x2, R.Duram Shell x6, Duram Sacrum x1, Purecrystal x1 : 2 尾槌竜の剛角, 6 尾斧竜の赤銅殻, 1 尾槌竜の仙骨, 1 ピュアクリスタル
Duramboros Z Mail : Duram Hardhorn x2, Marbled Hump x4, Lrg Wyvern Stone x1, Prized Stomach x3 : 2 尾槌竜の剛角, 4 霜降りのコブ, 1 大竜玉, 3 極上の腹袋
Duramboros Z Vambraces : R.Duram Shell x6, R.Duram Hardtail x2, Hard Mossplate x5, Crushing Fang x3 : 6 尾斧竜の赤銅殻, 2 尾斧竜の重尾甲, 5 尾槌竜の堅苔甲, 5 重厚な牙
Duramboros Z Faulds : R.Duram Plate x4, R.Duram Shell x6, Durambolite x1, Arzuros Allbrace x3 : 4 尾斧竜の赤銅甲, 6 尾斧竜の赤銅殻, 1 ドボルストーン, 3 青熊獣の重腕甲
Duramboros Z Greaves : R.Duram Plate x3, R.Duram Shell x5, Marbled Hump x4, Monster Slogbone x3 : 3 尾斧竜の赤銅甲, 5 尾斧竜の赤銅殻, 4 霜降りのコブ, 3 重竜骨
Duramboros Z Cap : Duram Hardhorn x2, R.Duram Shell x6, Duram Sacrum x1, Purecrystal x1 : 2 尾槌竜の剛角, 6 尾斧竜の赤銅殻, 1 尾槌竜の仙骨, 1 ピュアクリスタル
Duramboros Z Vest : Duram Hardhorn x2, Marbled Hump x4, Lrg Wyvern Stone x1, Prized Stomach x3 : 2 尾槌竜の剛角, 4 霜降りのコブ, 1 大竜玉, 3 極上の腹袋
Duramboros Z Guards : R.Duram Shell x6, R.Duram Hardtail x2, Hard Mossplate x5, Crushing Fang x3 : 6 尾斧竜の赤銅殻, 2 尾斧竜の重尾甲, 5 尾槌竜の堅苔甲, 5 重厚な牙
Duramboros Z Coat : R.Duram Plate x4, R.Duram Shell x6, Durambolite x1, Arzuros Allbrace x3 : 4 尾斧竜の赤銅甲, 6 尾斧竜の赤銅殻, 1 ドボルストーン, 3 青熊獣の重腕甲
Duramboros Z Leggings : R.Duram Plate x3, R.Duram Shell x5, Marbled Hump x4, Monster Slogbone x3 : 3 尾斧竜の赤銅甲, 5 尾斧竜の赤銅殻, 4 霜降りのコブ, 3 重竜骨
Nargacuga X Helm : Narga Tailspear x2, Nargacuga Fur x3, Narga Razor+ x2, Arzuros Cortex x4 : 2 迅竜の重尾棘, 3 迅竜の豪黒毛, 2 迅竜の剛刃翼, 4 青熊獣の重殻
Nargacuga X Mail : Nargacuga Shard x3, Hvy Narga Fang x4, Nargacuga Fur x3, G.Jaggi Piel x3 : 3 迅竜の厚鱗, 4 迅竜の重牙, 3 迅竜の豪黒毛, 3 狗竜の厚皮
Nargacuga X Braces : Narga Razor+ x3, Nargacuga Mantle x1, Narga Medulla x3, Arzuros Allbrace x5 : 3 迅竜の剛刃翼, 1 迅竜の天鱗, 3 迅竜の延髄, 5 青熊獣の重腕甲
Nargacuga X Faulds : Nargacuga Fur x3, Nargacuga Lash x1, Nargacuga Mantle x1, Flutterfly x3 : 3 迅竜の豪黒毛, 1 迅竜の靭尾, 1 迅竜の天鱗, 3 マボロシチョウ
Nargacuga X Greaves : Hvy Narga Fang x6, Nargacuga Shard x3, Narga Tailspear x2, Emperor Hopper x6 : 6 迅竜の重牙, 3 迅竜の厚鱗, 2 迅竜の重尾棘, 6 皇帝バッタ
Nargacuga X Cap : Narga Tailspear x2, Nargacuga Fur x3, Narga Razor+ x2, Arzuros Cortex x4 : 2 迅竜の重尾棘, 3 迅竜の豪黒毛, 2 迅竜の剛刃翼, 4 青熊獣の重殻
Nargacuga X Vest : Nargacuga Shard x3, Hvy Narga Fang x4, Nargacuga Fur x3, G.Jaggi Piel x3 : 3 迅竜の厚鱗, 4 迅竜の重牙, 3 迅竜の豪黒毛, 3 狗竜の厚皮
Nargacuga X Guards : Narga Razor+ x3, Nargacuga Mantle x1, Narga Medulla x3, Arzuros Allbrace x5 : 3 迅竜の剛刃翼, 1 迅竜の天鱗, 3 迅竜の延髄, 5 青熊獣の重腕甲
Nargacuga X Coat : Nargacuga Fur x3, Nargacuga Lash x1, Nargacuga Mantle x1, Flutterfly x3 : 3 迅竜の豪黒毛, 1 迅竜の靭尾, 1 迅竜の天鱗, 3 マボロシチョウ
Nargacuga X Leggings : Hvy Narga Fang x6, Nargacuga Shard x3, Narga Tailspear x2, Emperor Hopper x6 : 6 迅竜の重牙, 3 迅竜の厚鱗, 2 迅竜の重尾棘, 6 皇帝バッタ
Nargacuga Z Helm : G.Narga Dapples x6, G.Narga Razor+ x3, Narga Medulla x4, Supple Piel x4 : 6 緑迅竜の豪斑毛, 3 緑迅竜の剛刃翼, 4 迅竜の延髄, 4 柔軟な厚皮
Nargacuga Z Mail : G.Narga Shard x5, Hvy G.Narga Fang x5, Nargacuga Mantle x1, Crushing Fang x3 : 5 緑迅竜の厚鱗, 5 緑迅竜の重牙, 1 迅竜の天鱗, 3 重厚な牙
Nargacuga Z Braces : G.Narga Razor+ x4, G.Narga Shard x5, G.Narg Tailspear x4, Fey Wyvern Gem x2 : 4 緑迅竜の剛刃翼, 5 緑迅竜の厚鱗, 4 緑迅竜の重尾棘, 2 幻鳥竜玉
Nargacuga Z Faulds : G.Narga Dapples x6, G.Narg Tailspear x5, Lrg Wyvern Stone x1, Purecrystal x1 : 6 緑迅竜の豪斑毛, 5 緑迅竜の重尾棘, 1 大竜玉, 1 ピュアクリスタル
Nargacuga Z Greaves : Hvy G.Narga Fang x5, G.Narga Shard x5, Nargacuga Lash x1, Monster Slogbone x3 : 5 緑迅竜の重牙, 5 緑迅竜の厚鱗, 1 迅竜の靭尾, 3 重竜骨
Nargacuga Z Cap : G.Narga Dapples x6, G.Narga Razor+ x3, Narga Medulla x4, Supple Piel x4 : 6 緑迅竜の豪斑毛, 3 緑迅竜の剛刃翼, 4 迅竜の延髄, 4 柔軟な厚皮
Nargacuga Z Vest : G.Narga Shard x5, Hvy G.Narga Fang x5, Nargacuga Mantle x1, Crushing Fang x3 : 5 緑迅竜の厚鱗, 5 緑迅竜の重牙, 1 迅竜の天鱗, 3 重厚な牙
Nargacuga Z Guards : G.Narga Razor+ x4, G.Narga Shard x5, G.Narg Tailspear x4, Fey Wyvern Gem x2 : 4 緑迅竜の剛刃翼, 5 緑迅竜の厚鱗, 4 緑迅竜の重尾棘, 2 幻鳥竜玉
Nargacuga Z Coat : G.Narga Dapples x6, G.Narg Tailspear x5, Lrg Wyvern Stone x1, Purecrystal x1 : 6 緑迅竜の豪斑毛, 5 緑迅竜の重尾棘, 1 大竜玉, 1 ピュアクリスタル
Nargacuga Z Leggings : Hvy G.Narga Fang x5, G.Narga Shard x5, Nargacuga Lash x1, Monster Slogbone x3 : 5 緑迅竜の重牙, 5 緑迅竜の厚鱗, 1 迅竜の靭尾, 3 重竜骨
Helios X Helm/Selene X Helm : Crooked Hardhorn x2, Crooked Horn x4, Deep Dragongem x1, Conqueror's Seal x1 : 2 湾曲した剛龍角, 4 湾曲した龍角, 1 深淵の龍玉, 1 覇王の証
Helios X Mail/Selene X Mail : G.Ceadeus Fur x5, Ceadeus Fur x6, Earth Dragongem x5, Conqueror's Seal x1 : 5 皇海竜の豪鎧毛, 6 大海龍の鎧毛, 5 大地の龍玉, 1 覇王の証
Helios X Vambraces/Selene X Vambraces : G.Ceadeus Fur x3, Ceadeus Hide x6, Luminous Organ x5, Conqueror's Seal x1 : 3 皇海龍の豪鎧毛, 6 大海龍の甲皮, 5 神秘の発光体, 1 覇王の証
Helios X Coil/Selene X Coil : Dark Dragongem, Ceadeus Tail x3, Lagia Sapphire x2, Conqueror's Seal x1 : 1 深淵の皇龍玉, 3 大海龍の尻尾, 2 海竜の蒼玉, 1 覇王の証
Helios X Greaves/Selene X Greaves : G.Ceadeus Fur x5, Ceadeus Scale x7, ElderDragonBlood x4, Conqueror's Seal x1 : 5 皇海龍の豪鎧毛, 7 大海龍の鱗, 4 古龍の血, 1 覇王の証
Helios X Cap/Selene X Cap : Crooked Hardhorn x2, Crooked Horn x4, Deep Dragongem x1, Conqueror's Seal x1 : 2 湾曲した剛龍角, 4 湾曲した龍角, 1 深淵の龍玉, 1 覇王の証
Helios X Vest/Selene X Vest : G.Ceadeus Fur x5, Ceadeus Fur x6, Earth Dragongem x5, Conqueror's Seal x1 : 5 皇海竜の豪鎧毛, 6 大海龍の鎧毛, 5 大地の龍玉, 1 覇王の証
Helios X Guards/Selene X Guards : G.Ceadeus Fur x3, Ceadeus Hide x6, Luminous Organ x5, Conqueror's Seal x1 : 3 皇海龍の豪鎧毛, 6 大海龍の甲皮, 5 神秘の発光体, 1 覇王の証
Helios X Coat/Selene X Coat : Dark Dragongem, Ceadeus Tail x3, Lagia Sapphire x2, Conqueror's Seal x1 : 1 深淵の皇龍玉, 3 大海龍の尻尾, 2 海竜の蒼玉, 1 覇王の証
Helios X Leggings/Selene X Leggings : G.Ceadeus Fur x5, Ceadeus Scale x7, ElderDragonBlood x4, Conqueror's Seal x1 : 5 皇海龍の豪鎧毛, 7 大海龍の鱗, 4 古龍の血, 1 覇王の証
Helios Z Helm/Selene Z Helm : Crooked Hardhorn x2, G.Ceadeus Shard x2, Dark Dragongem, Conqueror's Seal x1 : 2 湾曲した剛龍角, 2 皇海龍の厚鱗, 1 深淵の皇龍玉, 1 覇王の証
Helios Z Mail/Selene Z Mail : G.Ceadeus Fur x4, G.Ceadeus Coat x5, Crooked Hardhorn x2, Conqueror's Seal x1 : 4 皇海龍の豪鎧毛, 5 皇海龍の重甲皮, 2 湾曲した剛龍角, 1 覇王の証
Helios Z Vambraces/Selene Z Vambraces : G.Ceadeus Coat x5, Crooked Hardhorn x2, ElderDragonBlood x4, Conqueror's Seal x1 : 5 皇海龍の重甲皮, 2 湾曲した剛龍角, 4 古龍の血, 1 覇王の証
Helios Z Coil/Selene Z Coil : G.Ceadeus Shard x4, G.Ceadeus Fur x5, Dark Dragongem, Conqueror's Seal x1 : 4 皇海龍の厚鱗, 5 皇海龍の豪鎧毛, 1 深淵の皇龍玉, 1 覇王の証
Helios Z Greaves/Selene Z Greaves : G.Ceadeus Shard x5, G.Ceadeus Coat x5, Luminous Organ x6, Conqueror's Seal x1 : 5 皇海龍の厚鱗, 5 皇海龍の重甲皮, 6 神秘の発光体, 1 覇王の証
Helios Z Cap/Selene Z Cap : Crooked Hardhorn x2, G.Ceadeus Shard x2, Dark Dragongem, Conqueror's Seal x1 : 2 湾曲した剛龍角, 2 皇海龍の厚鱗, 1 深淵の皇龍玉, 1 覇王の証
Helios Z Vest/Selene Z Vest : G.Ceadeus Fur x4, G.Ceadeus Coat x5, Crooked Hardhorn x2, Conqueror's Seal x1 : 4 皇海龍の豪鎧毛, 5 皇海龍の重甲皮, 2 湾曲した剛龍角, 1 覇王の証
Helios Z Guards/Selene Z Guards : G.Ceadeus Coat x5, Crooked Hardhorn x2, ElderDragonBlood x4, Conqueror's Seal x1 : 5 皇海龍の重甲皮, 2 湾曲した剛龍角, 4 古龍の血, 1 覇王の証
Helios Z Coat/Selene Z Coat : G.Ceadeus Shard x4, G.Ceadeus Fur x5, Dark Dragongem, Conqueror's Seal x1 : 4 皇海龍の厚鱗, 5 皇海龍の豪鎧毛, 1 深淵の皇龍玉, 1 覇王の証
Helios Z Leggings/Selene Z Leggings : G.Ceadeus Shard x5, G.Ceadeus Coat x5, Luminous Organ x6, Conqueror's Seal x1 : 5 皇海龍の厚鱗, 5 皇海龍の重甲皮, 6 神秘の発光体, 1 覇王の証
Aelucanth X Vertex/Rhopessa X Vertex : Maiden Butterfly x1, Flutterfly x1, Dracophage Bug x6, Godbug x20 : 1 ピュアアゲハ, 1 マボロシチョウ, 6 蝕龍蟲, 20 不死虫
Aelucanth X Thorax/Rhopessa X Thorax : Maiden Butterfly x2, Flutterfly x1, Emperor Hopper x8, Carpenterbug x20 : 2 ピュアアゲハ, 1 マボロシチョウ, 8 皇帝バッタ, 20 セッチャクロアリ
Aelucanth X Brachia/Rhopessa X Brachia : Maiden Butterfly x1, Flutterfly x1, Bnahabra Cutwing x4, Bitterbug x20 : 1 ピュアアゲハ, 1 マボロシチョウ, 4 飛甲虫の斬羽, 20 にが虫
Aelucanth X Elytra/Rhopessa X Elytra : Maiden Butterfly x2, Flutterfly x1, Prized Stomach x4, Stinkhopper x20 : 2 ピュアアゲハ, 1 マボロシチョウ, 4 極上の腹袋, 20 ボンバッタ
Aelucanth X Crura/Rhopessa X Crura : Maiden Butterfly x1, Flutterfly x1, Monster Essence x3, Snakebee Larva x20 : 1 ピュアアゲハ, 1 マボロシチョウ, 3 モンスターの特濃, 20 ツチハチノコ
Aelucanth X Clypeus/Rhopessa X Clypeus : Maiden Butterfly x1, Flutterfly x1, Dracophage Bug x6, Godbug x20 : 1 ピュアアゲハ, 1 マボロシチョウ, 6 蝕龍蟲, 20 不死虫
Aelucanth X Pleuron/Rhopessa X Pleuron : Maiden Butterfly x2, Flutterfly x1, Emperor Hopper x8, Carpenterbug x20 : 2 ピュアアゲハ, 1 マボロシチョウ, 8 皇帝バッタ, 20 セッチャクロアリ
Aelucanth X Manus/Rhopessa X Manus : Maiden Butterfly x1, Flutterfly x1, Bnahabra Cutwing x4, Bitterbug x20 : 1 ピュアアゲハ, 1 マボロシチョウ, 4 飛甲虫の斬羽, 20 にが虫
Aelucanth X Alae/Rhopessa X Alae : Maiden Butterfly x2, Flutterfly x1, Prized Stomach x4, Stinkhopper x20 : 2 ピュアアゲハ, 1 マボロシチョウ, 4 極上の腹袋, 20 ボンバッタ
Aelucanth X Tarsi/Rhopessa X Tarsi : Maiden Butterfly x1, Flutterfly x1, Monster Essence x3, Snakebee Larva x20 : 1 ピュアアゲハ, 1 マボロシチョウ, 3 モンスターの特濃, 20 ツチハチノコ
Rathalos X Helm : Rathalos Shard x4, Rathalos Mantle x1, Conflagrant Sac x3, Monster Slogbone x3 : 4 火竜の厚鱗, 1 火竜の天鱗, 3 業炎袋, 3 重竜骨
Rathalos X Mail : Rathalos Shard x5, Rathalos Cortex x4, Rathalos Fellwing x2, Meldspar Ore x2 : 5 火竜の厚鱗, 4 火竜の重殻, 2 火竜の剛翼, 2 メランジェ鉱石
Rathalos X Vambraces : Rathalos Shard x4, Rath Ripper x2, Rathalos Lash x1, Allfire Stone x2 : 4 火竜の厚鱗, 2 火竜の剛翼爪, 1 火竜の靭尾, 2 真紅蓮石
Rathalos X Faulds : Rathalos Cortex x6, Rathalos Fellwing x4, Rath Medulla x1, Meldspar Ore x2 : 6 火竜の重殻, 4 火竜の剛翼, 1 火竜の延髄, 2 メランジェ鉱石
Rathalos X Greaves : Rathalos Cortex x6, Rathalos Ruby x2, Rathalos Shard x6, Lrg Wyvern Stone x1 : 6 火竜の重殻, 2 火竜の紅玉, 6 火竜の厚鱗, 1 大竜玉
Rathalos X Cap : Rathalos Shard x4, Rathalos Mantle x1, Conflagrant Sac x3, Monster Slogbone x3 : 4 火竜の厚鱗, 1 火竜の天鱗, 3 業炎袋, 3 重竜骨
Rathalos X Vest : Rathalos Shard x5, Rathalos Cortex x4, Rathalos Fellwing x2, Meldspar Ore x2 : 5 火竜の厚鱗, 4 火竜の重殻, 2 火竜の剛翼, 2 メランジェ鉱石
Rathalos X Guards : Rathalos Shard x4, Rath Ripper x2, Rathalos Lash x1, Allfire Stone x2 : 4 火竜の厚鱗, 2 火竜の剛翼爪, 1 火竜の靭尾, 2 真紅蓮石
Rathalos X Coat : Rathalos Cortex x6, Rathalos Fellwing x4, Rath Medulla x1, Meldspar Ore x2 : 6 火竜の重殻, 4 火竜の剛翼, 1 火竜の延髄, 2 メランジェ鉱石
Rathalos X Leggings : Rathalos Cortex x6, Rathalos Ruby x2, Rathalos Shard x6, Lrg Wyvern Stone x1 : 6 火竜の重殻, 2 火竜の紅玉, 6 火竜の厚鱗, 1 大竜玉
Rath Soul Z Helm : A.Rathalos Shard x2, Rathalos Fellwing x2, Rathalos Mantle x1, Flutterfly x2 : 2 蒼火竜の厚鱗, 2 火竜の剛翼, 1 火竜の天鱗, 2 マボロシチョウ
Rath Soul Z Mail : A.Rathalos Shard x3, A.Rath Cortex x3, Conflagrant Sac x3, Monster Slogbone x3 : 3 蒼火竜の厚鱗, 3 蒼火竜の重殻, 3 業炎袋, 3 重竜骨
Rath Soul Z Braces : A.Rath Cortex x2, A.Rathalos Lash x2, Monster Slogbone x3, Eltalite Ore x5 : 2 蒼火竜の重殻, 2 蒼火竜の靭尾, 3 重竜骨, 5 エルトライト鉱石
Rath Soul Z Faulds : A.Rath Cortex x2, A.Rathalos Shard x4, Eltalite Ore x5, Conflagrant Sac x2 : 2 蒼火竜の重殻, 4 蒼火竜の厚鱗, 5 エルトライト鉱石, 2 業炎袋
Rath Soul Z Greaves : A.Rath Cortex x2, A.Rathalos Shard x3, Rathalos Mantle x1, Purecrystal x1 : 2 蒼火竜の重殻, 3 蒼火竜の厚鱗, 1 火竜の天鱗, 1 ピュアクリスタル
Rath Soul Z Cap : A.Rathalos Shard x2, Rathalos Fellwing x2, Rathalos Mantle x1, Flutterfly x2 : 2 蒼火竜の厚鱗, 2 火竜の剛翼, 1 火竜の天鱗, 2 マボロシチョウ
Rath Soul Z Vest : A.Rathalos Shard x3, A.Rath Cortex x3, Conflagrant Sac x3, Monster Slogbone x3 : 3 蒼火竜の厚鱗, 3 蒼火竜の重殻, 3 業炎袋, 3 重竜骨
Rath Soul Z Guards : A.Rath Cortex x2, A.Rathalos Lash x2, Monster Slogbone x3, Eltalite Ore x5 : 2 蒼火竜の重殻, 2 蒼火竜の靭尾, 3 重竜骨, 5 エルトライト鉱石
Rath Soul Z Coat : A.Rath Cortex x2, A.Rathalos Shard x4, Eltalite Ore x5, Conflagrant Sac x2 : 2 蒼火竜の重殻, 4 蒼火竜の厚鱗, 5 エルトライト鉱石, 2 業炎袋
Rath Soul Z Leggings : A.Rath Cortex x2, A.Rathalos Shard x3, Rathalos Mantle x1, Purecrystal x1 : 2 蒼火竜の重殻, 3 蒼火竜の厚鱗, 1 火竜の天鱗, 1 ピュアクリスタル
Diablos X Helm : Diablos Cortex x5, Diablos Hardhorn x1, Lrg Wyvern Stone x1, G.Wroggi Piel x4 : 5 角竜の重殻, 1 大地を穿つ剛角, 1 大竜玉, 4 毒拘竜の厚皮
Diablos X Mail : Diablos Chine x5, Diablos Hardhorn x1, Diablos Ridge+ x3, Volvidon Cortex x4 : 5 角竜の重甲, 1 大地を穿つ剛角, 3 角竜の堅甲, 4 赤甲獣の重殻
Diablos X Vambraces : Diablos Cortex x6, Diablos Chine x5, Diablos Carapace x6, G.Jaggi Piel x3 : 6 角竜の重殻, 5 角竜の重甲, 6 角竜の堅殻, 3 狗竜の厚皮
Diablos X Faulds : Diablos Chine x6, Diablos Hardtail x6, Diablos Medulla x3, Rhenoplos Bone x4 : 6 角竜の重甲, 6 角竜の重尾甲, 3 角竜の延髄, 4 草食竜の獣骨
Diablos X Greaves : Diablos Cortex x6, Stout Horn x5, Monster Slogbone x3, Diablos Hardtail x1 : 6 角竜の重殻, 5 堅牢なねじれた角, 3 重竜骨, 1 角竜の重尾甲
Diablos X Cap : Diablos Cortex x5, Diablos Hardhorn x1, Lrg Wyvern Stone x1, G.Wroggi Piel x4 : 5 角竜の重殻, 1 大地を穿つ剛角, 1 大竜玉, 4 毒拘竜の厚皮
Diablos X Vest : Diablos Chine x5, Diablos Hardhorn x1, Diablos Ridge+ x3, Volvidon Cortex x4 : 5 角竜の重甲, 1 大地を穿つ剛角, 3 角竜の堅甲, 4 赤甲獣の重殻
Diablos X Guards : Diablos Cortex x6, Diablos Chine x5, Diablos Carapace x6, G.Jaggi Piel x3 : 6 角竜の重殻, 5 角竜の重甲, 6 角竜の堅殻, 3 狗竜の厚皮
Diablos X Coat : Diablos Chine x6, Diablos Hardtail x6, Diablos Medulla x3, Rhenoplos Bone x4 : 6 角竜の重甲, 6 角竜の重尾甲, 3 角竜の延髄, 4 草食竜の獣骨
Diablos X Leggings : Diablos Cortex x6, Stout Horn x5, Monster Slogbone x3, Diablos Hardtail x1 : 6 角竜の重殻, 5 堅牢なねじれた角, 3 重竜骨, 1 角竜の重尾甲
Diablos Z Helm : B.Diablos Cortex x4, Diablos Hardhorn x2, Lrg Wyvern Stone x1, Prized Stomach x3 : 4 黒角竜の重殻, 2 大地を穿つ剛角, 1 大竜玉, 3 極上の腹袋
Diablos Z Mail : Blackcurl Horn+ x2, B.Diablos Chine x5, Diablos Medulla x2, Imperial Frill x2 : 2 堅牢な黒巻き角, 5 黒角竜の重甲, 2 角竜の延髄, 2 偉大なエリマキ
