Yukumo Kasa : 1 Yukumo Wood, 1 Gagua Feather
Yukumo Dogi : 2 Yukumo Wood, 2 Ivy
Yukumo Kote : 2 Yukumo Wood, 1 Ivy
Yukumo Obi : 1 Yukumo Wood, 2 Iron Ore
Yukumo Hakama : 2 Yukumo Wood, 2 Carpenterbug
Leather Headgear : 1 Warm Pelt, 1 Iron Ore
Leather Vest : 1 Bullfango Pelt, 1 Iron Ore
Leather Gloves : 2 Warm Pelt
Leather Belt : 1 Bullfango Pelt, 1 Iron Ore
Leather Pants : 2 Warm Pelt
Chainmail Headgear : 1 Earth Crystal, 1 Iron Ore
Chainmail Vest : 2 Iron Ore, 1 Yukumo Wood
Chainmail Gloves : 1 Iron Ore, 2 Yukumo Wood
Chainmail Belt : 1 Iron Ore, 2 Warm Pelt
Chainmail Pants : 2 Iron Ore, 2 Yukumo Wood
Loc Lac Shawl : 1 Altaroth Stomach, 3 Monster Fluid, 3 Ice Crystal
Loc Lac Kilt : 2 Altaroth Stomach, 2 Altaroth Jaw, 3 Ice Crystal
Loc Lac Boots : 3 Altaroth Jaw, 2 Altaroth Stomach, 3 Ice Crystal
Hunter's Helm : 1 Machalite Ore, 1 Iron Ore, 2 Carpenterbug
Hunter's Mail : 2 Iron Ore, 1 Jaggi Scale, 2 Bullfango Pelt
Hunter's Vambraces : 1 Earth Crystal, 2 Jaggi Scale, 1 Ivy
Hunter's Faulds : 2 Bullfango Pelt, 1 Iron Ore, 1 Carpenterbug
Hunter's Greaves : 1 Iron Ore, 1 Bullfango Pelt, 2 Yukumo Wood
Hunter's Cap : 1 Machalite Ore, 1 Iron Ore, 2 Carpenterbug
Hunter's Vest : 2 Iron Ore, 1 Jaggi Scale, 2 Bullfango Pelt
Hunter's Guards : 1 Earth Crystal, 2 Jaggi Scale, 1 Ivy
Hunter's Coat : 2 Bullfango Pelt, 1 Iron Ore, 1 Carpenterbug
Hunter's Leggings : 1 Iron Ore, 1 Bullfango Pelt, 2 Yukumo Wood
Bone Helm : 3 Big Fin, 1 Unknown Skull, 2 Sharpened Fang
Bone Mail : 1 Giant Bone, 4 Mystery Bone, 2 Sharpened Fang
Bone Vambraces : 3 Monster Bone S, 3 Mystery Bone, 2 Sharpened Fang
Bone Faulds : 3 Monster Bone S, 3 Bone, 2 Sharpened Fang
Bone Greaves : 2 Monster Bone M, 2 Bone, 4 Mystery Bone
Bone Cap : 3 Big Fin, 1 Unknown Skull, 2 Sharpened Fang
Bone Vest : 1 Giant Bone, 4 Mystery Bone, 2 Sharpened Fang
Bone Guards : 3 Monster Bone S, 3 Mystery Bone, 2 Sharpened Fang
Bone Coat : 3 Monster Bone S, 3 Bone, 2 Sharpened Fang
Bone Leggings : 2 Monster Bone M, 2 Bone, 4 Mystery Bone
Alloy Helm : 3 Machalite Ore, 2 Bealite Ore, 3 Iron Ore
Alloy Mail : 3 Machalite Ore, 2 Pelagicite Ore, 2 Iron Ore
Alloy Vambraces : 2 Machalite Ore, 2 Bealite Ore, 4 Iron Ore
Alloy Coil : 2 Machalite Ore, 2 Pelagicite Ore, 3 Iron Ore
Alloy Greaves : 4 Machalite Ore, 2 Bealite Ore, 2 Iron Ore
Alloy Cap : 3 Machalite Ore, 2 Bealite Ore, 3 Iron Ore
Alloy Vest : 3 Machalite Ore, 2 Pelagicite Ore, 2 Iron Ore
Alloy Guards : 2 Machalite Ore, 2 Bealite Ore, 4 Iron Ore
Alloy Coat : 2 Machalite Ore, 2 Pelagicite Ore, 3 Iron Ore
Alloy Leggings : 4 Machalite Ore, 2 Bealite Ore, 2 Iron Ore
Nargacuga S Coat : 5 BlackNargaPelt+, 1 Nargacuga Tail, 3 Nargacuga Wing+, 4 Aoashira Carapace
Nargacuga S Leggings : 5 Nargacuga Fang+, 5 Narga Scale+, 2 Narga Marrow, 3 Rare Scarab
Barioth S Helm : 2 Amber Fang+, 5 Barioth Pelt+, 4 Barioth Shell, 5 Freezer Sac
Barioth S Mail : 4 Barioth Carapce, 1 Barioth Tail, 1 Wyvern Stone, 6 Urkusus Pelt
Barioth S Vambraces : 2 Barioth Claw+, 3 Barioth Carapce, 4 Barioth Pelt, 3 Urkusus Belly+
Barioth S Faulds : 2 Amber Fang+, 4 Barioth Spike, 4 Sharp Bone, 4 Urkusus Belly
Barioth S Greaves : 5 Barioth Pelt+, 3 Barioth Carapce, 1 Barioth Claw, 4 Urkusus Pelt+
Barioth S Cap : 2 Amber Fang+, 5 Barioth Pelt+, 4 Barioth Shell, 5 Freezer Sac
Barioth S Vest : 4 Barioth Carapce, 1 Barioth Tail, 1 Wyvern Stone, 6 Urkusus Pelt
Barioth S Guards : 2 Barioth Claw+, 3 Barioth Carapce, 4 Barioth Pelt, 3 Urkusus Belly+
Barioth S Coat : 2 Amber Fang+, 4 Barioth Spike, 4 Sharp Bone, 4 Urkusus Belly
Barioth S Leggings : 5 Barioth Pelt+, 3 Barioth Carapce, 1 Barioth Claw, 4 Urkusus Pelt+
Rathalos S Helm : 4 Rathalos Scale+, 1 Rathalos Ruby, 3 Inferno Sac, 3 Sharp Bone
Rathalos S Mail : 5 Rathalos Scale+, 4 Rathalos Shell, 4 Rathalos Webbng, 2 Union Ore
Rathalos S Vambraces : 4 Rathalos Scale+, 2 Rath Talon, 1 Rathalos Tail, 2 Firecell Stone
Rathalos S Faulds : 6 Rathalos Carpce, 4 Rathalos Webbng, 1 Rathalos Plate, 2 Union Ore
Rathalos S Greaves : 6 Rathalos Carpce, 2 Rath Medulla, 6 Rathalos Scale, 4 Fire Stone
Rathalos S Cap : 4 Rathalos Scale+, 1 Rathalos Ruby, 3 Inferno Sac, 3 Sharp Bone
Rathalos S Vest : 5 Rathalos Scale+, 4 Rathalos Shell, 4 Rathalos Webbng, 2 Union Ore
Rathalos S Guards : 4 Rathalos Scale+, 2 Rath Talon, 1 Rathalos Tail, 2 Firecell Stone
Rathalos S Coat : 6 Rathalos Carpce, 4 Rathalos Webbng, 1 Rathalos Plate, 2 Union Ore
Rathalos S Leggings : 6 Rathalos Carpce, 2 Rath Medulla, 6 Rathalos Scale, 4 Fire Stone
Uragaan S Helm : 4 Uragaan Carapce, 4 Uragaan Marrow, 3 Lava Chunk, 3 Rangurotora Carapac
Uragaan S Mail : 5 Uragaan Carapce, 3 Uragaan Jaw, 6 Uragaan Scale, 1 Firecell Stone
Uragaan S Vambraces : 5 Uragaan Scale+, 5 Uragaan Scute, 3 Sharp Bone, 3 Union Ore
Uragaan S Faulds : 6 Uragaan Scale+, 1 Uragaan Ruby, 4 Uragaan Shell, 5 Rangurotora Shell
Uragaan S Greaves : 5 Uragaan Carapce, 6 Uragaan Scale+, 1 Wyvern Stone, 2 Rangrtora Scute
Uragaan S Cap : 4 Uragaan Carapce, 4 Uragaan Marrow, 3 Lava Chunk, 3 Rangurotora Carapac
Uragaan S Vest : 5 Uragaan Carapce, 3 Uragaan Jaw, 6 Uragaan Scale, 1 Firecell Stone
Uragaan S Guards : 5 Uragaan Scale+, 5 Uragaan Scute, 3 Sharp Bone, 3 Union Ore
Uragaan S Coat : 6 Uragaan Scale+, 1 Uragaan Ruby, 4 Uragaan Shell, 5 Rangurotora Shell
Uragaan S Leggings : 5 Uragaan Carapce, 6 Uragaan Scale+, 1 Wyvern Stone, 2 Rangrtora Scute
Tigrex S Helm : 1 Tigrex Agito, 2 Tigrex Fang+, 5 Tigrex Scale, 4 Ludroth Hide+
Tigrex S Mail : 4 Tigrex Claw+, 6 Tigrex Carapace, 1 Tigrex Scalp, 6 Great Jaggi Hide+
Tigrex S Vambraces : 3 Tigrex Fang+, 6 Tigrex Scale+, 2 Hrd Monster Bone, 5 Great Jaggi Hide
Tigrex S Faulds : 6 Tigrex Carapace, 5 Tigrex Scale+, 1 Wyvern Stone, 3 Ludroth Hide+
Tigrex S Greaves : 6 Tigrex Scale+, 4 Tigrex Claw+, 4 Tigrex Shell, 6 Ludroth Hide
Tigrex S Cap : 1 Tigrex Agito, 2 Tigrex Fang+, 5 Tigrex Scale, 4 Ludroth Hide+
Tigrex S Vest : 4 Tigrex Claw+, 6 Tigrex Carapace, 1 Tigrex Scalp, 6 Great Jaggi Hide+
Tigrex S Guards : 3 Tigrex Fang+, 6 Tigrex Scale+, 2 Hrd Monster Bone, 5 Great Jaggi Hide
Tigrex S Coat : 6 Tigrex Carapace, 5 Tigrex Scale+, 1 Wyvern Stone, 3 Ludroth Hide+
Tigrex S Leggings : 6 Tigrex Scale+, 4 Tigrex Claw+, 4 Tigrex Shell, 6 Ludroth Hide
Diablos S Helm : 5 Diablos Carapce, 4 Diablos Tailcase, 1 Wyvern Stone, 4 Great Frggi Hide+
Diablos S Mail : 5 Diablos Ridge+, 3 Majestic Horn, 3 Diablos Ridge, 7 Rhenoplos Shell
Diablos S Vambraces : 6 Diablos Carapce, 5 Diablos Fang, 6 Diablos Shell, 3 Great Frggi Arm
Diablos S Faulds : 6 Diablos Ridge+, 6 Diablos Fang, 1 Diablos Brnstm, 6 Rheno Carapace
Diablos S Greaves : 6 Diablos Carapce, 5 Twisted Horn, 3 Hrd Monster Bone, 3 Renoplos Scalp
Diablos S Cap : 5 Diablos Carapce, 4 Diablos Tailcase, 1 Wyvern Stone, 4 Great Frggi Hide+
Diablos S Vest : 5 Diablos Ridge+, 3 Majestic Horn, 3 Diablos Ridge, 7 Rhenoplos Shell
Diablos S Guards : 6 Diablos Carapce, 5 Diablos Fang, 6 Diablos Shell, 3 Great Frggi Arm
Diablos S Coat : 6 Diablos Ridge+, 6 Diablos Fang, 1 Diablos Brnstm, 6 Rheno Carapace
Diablos S Leggings : 6 Diablos Carapce, 5 Twisted Horn, 3 Hrd Monster Bone, 3 Renoplos Scalp
Jinouga S Helm : 2 Jinouga Horn+, 4 Jinouga Fur+, 3 Jinouga Shell, 1 Wyvern Stone
Jinouga S Mail : 4 Jinouga Fur+, 5 Jinouga Carapce, 1 Jinouga Gem, 20 Thunderbug
Jinouga S Vambraces : 5 Jinouga Claw+, 4 Jinouga Conductor+, 3 Jinouga Fur, 6 Bulldrome Hide+
Jinouga S Faulds : 5 Jinouga Carapce, 3 Jinouga Fur+, 1 Jinouga Tail, 1 Jinouga Plate
Jinouga S Greaves : 5 Jinouga Carapce, 5 Jinouga Claw+, 3 Jinouga Conductor+, 10 Super Thunderbug
Jinouga S Cap : 2 Jinouga Horn+, 4 Jinouga Fur+, 3 Jinouga Shell, 1 Wyvern Stone
Jinouga S Vest : 4 Jinouga Fur+, 5 Jinouga Carapce, 1 Jinouga Gem, 20 Thunderbug
Jinouga S Guards : 5 Jinouga Claw+, 4 Jinouga Conductor+, 3 Jinouga Fur, 6 Bulldrome Hide+
Jinouga S Coat : 5 Jinouga Carapce, 3 Jinouga Fur+, 1 Jinouga Tail, 1 Jinouga Plate
Jinouga S Leggings : 5 Jinouga Carapce, 5 Jinouga Claw+, 3 Jinouga Conductor+, 10 Super Thunderbug
Agnaktor S Helm : 5 Agnaktor Carpce, 2 Agnaktor Beak, 4 Agnaktor Hide+, 4 Great Frggi Hide+
Agnaktor S Mail : 4 Agnaktor Hide+, 2 Agnaktor Fin+, 5 Agnaktor Carpce, 2 Firecell Stone
Agnaktor S Vambraces : 5 Agnaktor Claw+, 5 Agnaktor Carpce, 1 Agnaktor Tail, 6 Lava Chunk
Agnaktor S Faulds : 3 Agnaktor Fin+, 5 Agnaktor Scale, 8 Uroktor Scale+, 5 Great Froggi Hide
Agnaktor S Greaves : 5 Molten Chest Cpc, 4 Agnaktor Hide+, 1 Wyvern Stone, 3 Great Frggi Arm
Agnaktor S Cap : 5 Agnaktor Carpce, 2 Agnaktor Beak, 4 Agnaktor Hide+, 4 Great Frggi Hide+
Agnaktor S Vest : 4 Agnaktor Hide+, 2 Agnaktor Fin+, 5 Agnaktor Carpce, 2 Firecell Stone
Agnaktor S Guards : 5 Agnaktor Claw+, 5 Agnaktor Carpce, 1 Agnaktor Tail, 6 Lava Chunk
Agnaktor S Coat : 3 Agnaktor Fin+, 5 Agnaktor Scale, 8 Uroktor Scale+, 5 Great Froggi Hide
Agnaktor S Leggings : 5 Molten Chest Cpc, 4 Agnaktor Hide+, 1 Wyvern Stone, 3 Great Frggi Arm
Dobol S Helm : 2 Dobol Horn+, 6 Dobol Carapace, 1 Dobol Tail Bone, 6 Bulldrome Hide+
Dobol S Mail : 2 Dobol Horn+, 4 Dobol Kelp, 1 Wyvern Stone, 6 Bullfango Pelt
Dobol S Vambraces : 6 Dobol Carapace, 2 Dobol Tail+, 5 Mossy Carapace+, 6 Zuwaroposu Hide+
Dobol S Faulds : 4 Mossy Carapace+, 6 Dobol Carapace, 1 Dobol Sacrum, 6 Zuwaroposu Hide
Dobol S Greaves : 3 Dobol Tail+, 5 Mossy Carapace+, 4 Dobol Kelp, 5 Hrd Monster Bone
Dobol S Cap : 2 Dobol Horn+, 6 Dobol Carapace, 1 Dobol Tail Bone, 6 Bulldrome Hide+
Dobol S Vest : 2 Dobol Horn+, 4 Dobol Kelp, 1 Wyvern Stone, 6 Bullfango Pelt
Dobol S Guards : 6 Dobol Carapace, 2 Dobol Tail+, 5 Mossy Carapace+, 6 Zuwaroposu Hide+
Dobol S Coat : 4 Mossy Carapace+, 6 Dobol Carapace, 1 Dobol Sacrum, 6 Zuwaroposu Hide
Dobol S Leggings : 3 Dobol Tail+, 5 Mossy Carapace+, 4 Dobol Kelp, 5 Hrd Monster Bone
Qurupeco U Helm : 1 Red Qurpeco Wng, 3 Wonderful Beak, 2 Monster Bone+, 2 King Scarab
Qurupeco U Mail : 3 Red Qurpeco Scl, 2 Vivid Feather, 1 Sharp Bone, 2 King Scarab
Qurupeco U Vambraces : 3 Sparkstone, 3 Red Qurpeco Scl, 2 Vivid Feather, 3 Hercudrome
Qurupeco U Coil : 3 Red Qurpeco Wng, 3 Red Qurpeco Scl, 1 Sharp Bone, 3 Hercudrome
Qurupeco U Greaves : 3 Red Qurpeco Scl, 2 Red Qurpeco Wng, 1 Wyvern Stone, 5 Killer Beetle
Qurupeco U Cap : 1 Red Qurpeco Wng, 3 Wonderful Beak, 2 Monster Bone+, 2 King Scarab
Qurupeco U Vest : 3 Red Qurpeco Scl, 2 Vivid Feather, 1 Sharp Bone, 2 King Scarab
Qurupeco U Guards : 3 Sparkstone, 3 Red Qurpeco Scl, 2 Vivid Feather, 3 Hercudrome
Qurupeco U Coat : 3 Red Qurpeco Wng, 3 Red Qurpeco Scl, 1 Sharp Bone, 3 Hercudrome
Qurupeco U Leggings : 3 Red Qurpeco Scl, 2 Red Qurpeco Wng, 1 Wyvern Stone, 5 Killer Beetle
Ludroth U Helm : 3 Prple Ludroth Scl, 3 R.Ludroth Crest+, 1 R.Ludroth Tail, 5 Hercudrome
Ludroth U Mail : 3 Prple Ludroth Hide, 3 Ludroth Hide+, 6 Ludroth Hide, 2 King Scarab
Ludroth U Vambraces : 4 Prple Ludroth Claw, 2 Prple Ludroth Hide, 2 Prple Ludroth Scl, 2 Aqueous Sac
Ludroth U Faulds : 3 Prple Ludroth Hide, 6 Immature Sponge, 2 Sharp Bone, 2 King Scarab
Ludroth U Greaves : 3 Prple Ludroth Claw, 3 Prple Ludroth Scl, 3 Ludroth Hide+, 5 Killer Beetle
Ludroth U Cap : 3 Prple Ludroth Scl, 3 R.Ludroth Crest+, 1 R.Ludroth Tail, 5 Hercudrome
Ludroth U Vest : 3 Prple Ludroth Hide, 3 Ludroth Hide+, 6 Ludroth Hide, 2 King Scarab
Ludroth U Guards : 4 Prple Ludroth Claw, 2 Prple Ludroth Hide, 2 Prple Ludroth Scl, 2 Aqueous Sac
Ludroth U Coat : 3 Prple Ludroth Hide, 6 Immature Sponge, 2 Sharp Bone, 2 King Scarab
Ludroth U Leggings : 3 Prple Ludroth Claw, 3 Prple Ludroth Scl, 3 Ludroth Hide+, 5 Killer Beetle
Barroth U Helm : 5 Ice Barroth Ridge, 3 Ice Barroth Shell, 5 Frzn Mucous Ball, 5 Urkusus Pelt
Barroth U Mail : 3 Ice Barroth Scalp, 4 Ice Barroth Ridge, 5 Frzn Mucous Ball, 4 Urkusus Belly
Barroth U Vambraces : 4 Ice Barroth Claw, 2 Ice Barroth Shell, 3 Monster Bone+, 3 Bulldrome Hide+
Barroth U Faulds : 3 Ice Barroth Shell, 4 Ice Barroth Ridge, 2 Sharp Bone, 4 Urkusus Pelt+
Barroth U Greaves : 3 Ice Barroth Shell, 1 Ice Barroth Tail, 3 Ice Barroth Claw, 3 Urkusus Belly+
Barroth U Cap : 5 Ice Barroth Ridge, 3 Ice Barroth Shell, 5 Frzn Mucous Ball, 5 Urkusus Pelt
Barroth U Vest : 3 Ice Barroth Scalp, 4 Ice Barroth Ridge, 5 Frzn Mucous Ball, 4 Urkusus Belly
Barroth U Guards : 4 Ice Barroth Claw, 2 Ice Barroth Shell, 3 Monster Bone+, 3 Bulldrome Hide+
Barroth U Coat : 3 Ice Barroth Shell, 4 Ice Barroth Ridge, 2 Sharp Bone, 4 Urkusus Pelt+
Barroth U Leggings : 3 Ice Barroth Shell, 1 Ice Barroth Tail, 3 Ice Barroth Claw, 3 Urkusus Belly+
Gigginox U Helm : 4 ThndrGiggi Hide, 2 Uncanny Hide+, 5 Pale Extract, 4 Great Baggi Hide+
Gigginox U Mail : 2 ThndrGiggi Claw, 4 ThndrGiggi Hide, 1 Wyvern Stone, 5 Great Baggi Hide
Gigginox U Vambraces : 1 ThndrGiggi Claw, 2 Fearsome Maw, 2 Sharp Bone, 4 Gracium
Gigginox U Faulds : 4 ThndrGiggi Hide, 1 ThndrGiggi Claw, 4 Thunder Sac, 6 Isisium
Gigginox U Greaves : 4 ThndrGiggi Hide, 2 Uncanny Hide+, 2 Sharp Bone, 2 Lightcrystal
Gigginox U Cap : 4 ThndrGiggi Hide, 2 Uncanny Hide+, 5 Pale Extract, 4 Great Baggi Hide+
Gigginox U Vest : 2 ThndrGiggi Claw, 4 ThndrGiggi Hide, 1 Wyvern Stone, 5 Great Baggi Hide
Gigginox U Guards : 1 ThndrGiggi Claw, 2 Fearsome Maw, 2 Sharp Bone, 4 Gracium
Gigginox U Coat : 4 ThndrGiggi Hide, 1 ThndrGiggi Claw, 4 Thunder Sac, 6 Isisium
Gigginox U Leggings : 4 ThndrGiggi Hide, 2 Uncanny Hide+, 2 Sharp Bone, 2 Lightcrystal
Dober Helm : 3 Drgonbone Relic, 1 Dobol Horn+, 10 Bird Wyvern Bone, 8 Monster Bone+
Dober Mail : 3 Drgonbone Relic, 4 Blk Blos Ridge, 3 Hrd Monster Bone, 20 Monster Bone S
Dober Vambraces : 3 Drgonbone Relic, 3 Dark Tigrex Claw, 2 ElderDragonBlood, 5 Monster Bone L
Dober Coil : 3 Drgonbone Relic, 3 Jinouga Claw+, 5 Stout Bone, 10 Monster Bone M
Dober Greaves : 3 Drgonbone Relic, 2 FrznAgnaktor Claw, 5 Sharp Bone, 10 Giant Bone
Dober Cap : 3 Drgonbone Relic, 1 Dobol Horn+, 10 Bird Wyvern Bone, 8 Monster Bone+
Dober Vest : 3 Drgonbone Relic, 4 Blk Blos Ridge, 3 Hrd Monster Bone, 20 Monster Bone S
Dober Guards : 3 Drgonbone Relic, 3 Dark Tigrex Claw, 2 ElderDragonBlood, 5 Monster Bone L
Dober Coat : 3 Drgonbone Relic, 3 Jinouga Claw+, 5 Stout Bone, 10 Monster Bone M
Dober Leggings : 3 Drgonbone Relic, 2 FrznAgnaktor Claw, 5 Sharp Bone, 10 Giant Bone
Nargacuga U Helm : 6 Grn Narga Pelt, 3 Grn Narga Wing, 4 Sharp Bone, 4 Aoashira Pelt+
Nargacuga U Mail : 5 Green Narga Scl, 5 Grn Narga Fang, 1 Narga Brain Stm, 3 Rare Scarab
Nargacuga U Vambraces : 4 Grn Narga Wing, 5 Green Narga Scl, 4 Narga TailSpike, 4 Aoashira Carapace
Nargacuga U Faulds : 6 Grn Narga Pelt, 5 Narga TailSpike, 1 Wyvern Stone, 6 King Scarab
Nargacuga U Greaves : 5 Grn Narga Fang, 5 Green Narga Scl, 2 Narga Marrow, 6 Zuwaroposu Hide+
Nargacuga U Cap : 6 Grn Narga Pelt, 3 Grn Narga Wing, 4 Sharp Bone, 4 Aoashira Pelt+
Nargacuga U Vest : 5 Green Narga Scl, 5 Grn Narga Fang, 1 Narga Brain Stm, 3 Rare Scarab
Nargacuga U Guards : 4 Grn Narga Wing, 5 Green Narga Scl, 4 Narga TailSpike, 4 Aoashira Carapace
Nargacuga U Coat : 6 Grn Narga Pelt, 5 Narga TailSpike, 1 Wyvern Stone, 6 King Scarab
Nargacuga U Leggings : 5 Grn Narga Fang, 5 Green Narga Scl, 2 Narga Marrow, 6 Zuwaroposu Hide+
Barioth U Helm : 2 Sapphire Fang, 4 SandBariothPlt, 2 SandBariothShl, 4 Aoashira Carapace
Barioth U Mail : 3 SandBariothShl, 1 SandBariothTail, 5 Sharp Bone, 2 Rare Scarab
Barioth U Vambraces : 1 SandBariothClw, 3 SandBariothShl, 4 SandBariothPlt, 6 Aoashira Pelt+
Barioth U Faulds : 2 Sapphire Fang, 5 Pleural Membrane, 1 Wyvern Stone, 6 Rheno Carapace
Barioth U Greaves : 4 SandBariothPlt, 3 SandBariothShl, 1 SandBariothClw, 3 Aoashira Brace
Barioth U Cap : 2 Sapphire Fang, 4 SandBariothPlt, 2 SandBariothShl, 4 Aoashira Carapace
Barioth U Vest : 3 SandBariothShl, 1 SandBariothTail, 5 Sharp Bone, 2 Rare Scarab
Barioth U Guards : 1 SandBariothClw, 3 SandBariothShl, 4 SandBariothPlt, 6 Aoashira Pelt+
Barioth U Coat : 2 Sapphire Fang, 5 Pleural Membrane, 1 Wyvern Stone, 6 Rheno Carapace
Barioth U Leggings : 4 SandBariothPlt, 3 SandBariothShl, 1 SandBariothClw, 3 Aoashira Brace
Uragaan U Helm : 5 SteelUragaanCpc, 2 Uragaan Marrow, 1 Wyvern Stone, 3 Rangurotora Claw
Uragaan U Mail : 3 SteelUragaanJaw, 2 Steel Uragaan Scute, 5 SteelUragaanScl, 3 Union Ore
Uragaan U Vambraces : 4 SteelUragaanScl, 1 Uragaan Ruby, 5 Lava Chunk, 3 Rangurtora Claw+
Uragaan U Faulds : 3 Steel Uragaan Scute, 4 SteelUragaanScl, 4 SteelUragaanCpc, 1 Firecell Stone
Uragaan U Greaves : 5 SteelUragaanCpc, 4 SteelUragaanScl, 2 SteelUragaanJaw, 2 Rangrtora Scute
Uragaan U Cap : 5 SteelUragaanCpc, 2 Uragaan Marrow, 1 Wyvern Stone, 3 Rangurotora Claw
Uragaan U Vest : 3 SteelUragaanJaw, 2 Steel Uragaan Scute, 5 SteelUragaanScl, 3 Union Ore
Uragaan U Guards : 4 SteelUragaanScl, 1 Uragaan Ruby, 5 Lava Chunk, 3 Rangurtora Claw+
Uragaan U Coat : 3 Steel Uragaan Scute, 4 SteelUragaanScl, 4 SteelUragaanCpc, 1 Firecell Stone
Uragaan U Leggings : 5 SteelUragaanCpc, 4 SteelUragaanScl, 2 SteelUragaanJaw, 2 Rangrtora Scute
Tigrex U Helm : 3 Dark Tigrex Fang, 1 Tigrex Agito, 2 Tigrex Scalp, 5 Rangurotora Carapac
Tigrex U Mail : 5 Dark Tigrex Claw, 4 Dark Tigrex Shell, 2 Dark Tigrex Fang, 3 Firecell Stone
Tigrex U Vambraces : 3 Dark Tigrex Fang, 5 Dark Tigrex Scale, 3 Hrd Monster Bone, 10 Uroktor Scale+
Tigrex U Faulds : 4 Dark Tigrex Shell, 6 Dark Tigrex Scale, 1 Wyvern Stone, 8 Uroktor Scale
Tigrex U Greaves : 5 Dark Tigrex Scale, 5 Dark Tigrex Claw, 3 Dark Tigrex Shell, 3 Rangrtora Scute
Tigrex U Cap : 3 Dark Tigrex Fang, 1 Tigrex Agito, 2 Tigrex Scalp, 5 Rangurotora Carapac
Tigrex U Vest : 5 Dark Tigrex Claw, 4 Dark Tigrex Shell, 2 Dark Tigrex Fang, 3 Firecell Stone
Tigrex U Guards : 3 Dark Tigrex Fang, 5 Dark Tigrex Scale, 3 Hrd Monster Bone, 10 Uroktor Scale+
Tigrex U Coat : 4 Dark Tigrex Shell, 6 Dark Tigrex Scale, 1 Wyvern Stone, 8 Uroktor Scale
Tigrex U Leggings : 5 Dark Tigrex Scale, 5 Dark Tigrex Claw, 3 Dark Tigrex Shell, 3 Rangrtora Scute
Diablos U Helm : 4 Black Blos Shl, 4 Diablos Tailcase, 1 Wyvern Stone, 4 Altaroth Stomach
Diablos U Mail : 2 MajesticBlkHorn, 5 Blk Blos Ridge, 2 Diablos Marrow, 4 Great Jaggi Claw+
Diablos U Vambraces : 4 Black Blos Shl, 5 Diablos Fang, 1 Diablos Brnstm, 4 Great Jaggi Claw
Diablos U Faulds : 6 Blk Blos Ridge, 5 Black Blos Shl, 6 Diablos Fang, 3 Quality Sac
Diablos U Greaves : 5 Black Blos Shl, 5 Twisted Horn, 4 Hrd Monster Bone, 4 Altaroth Jaw
Diablos U Cap : 4 Black Blos Shl, 4 Diablos Tailcase, 1 Wyvern Stone, 4 Altaroth Stomach
Diablos U Vest : 2 MajesticBlkHorn, 5 Blk Blos Ridge, 2 Diablos Marrow, 4 Great Jaggi Claw+
Diablos U Guards : 4 Black Blos Shl, 5 Diablos Fang, 1 Diablos Brnstm, 4 Great Jaggi Claw
Diablos U Coat : 6 Blk Blos Ridge, 5 Black Blos Shl, 6 Diablos Fang, 3 Quality Sac
Diablos U Leggings : 5 Black Blos Shl, 5 Twisted Horn, 4 Hrd Monster Bone, 4 Altaroth Jaw
Agnaktor U Helm : 5 FrznAgnaktor Shl, 2 FrznAgnaktor Beak, 3 FrznAgnaktor Hide, 8 Velvety Hide
Agnaktor U Mail : 4 FrznAgnaktor Hide, 3 FrznAgnaktor Fin, 5 FrznAgnaktor Shl, 4 Great Baggi Hide
Agnaktor U Vambraces : 3 FrznAgnaktor Claw, 5 FrznAgnaktor Shl, 1 Wyvern Stone, 3 Great Baggi Claw+
Agnaktor U Faulds : 2 FrznAgnaktor Fin, 1 FrznAgnaktr Tail, 4 FrznAgnaktor Hide, 3 Great Baggi Claw
Agnaktor U Greaves : 5 Moist Chest Shell, 2 FrznAgnaktor Fin, 3 FrznAgnaktor Claw, 4 Great Baggi Hide+
Agnaktor U Cap : 5 FrznAgnaktor Shl, 2 FrznAgnaktor Beak, 3 FrznAgnaktor Hide, 8 Velvety Hide
Agnaktor U Vest : 4 FrznAgnaktor Hide, 3 FrznAgnaktor Fin, 5 FrznAgnaktor Shl, 4 Great Baggi Hide
Agnaktor U Guards : 3 FrznAgnaktor Claw, 5 FrznAgnaktor Shl, 1 Wyvern Stone, 3 Great Baggi Claw+
Agnaktor U Coat : 2 FrznAgnaktor Fin, 1 FrznAgnaktr Tail, 4 FrznAgnaktor Hide, 3 Great Baggi Claw
Agnaktor U Leggings : 5 Moist Chest Shell, 2 FrznAgnaktor Fin, 3 FrznAgnaktor Claw, 4 Great Baggi Hide+
Damascus Helm : 4 Mohran Scale+, 4 Gld Rathian Scl, 1 GldRathianSpike, 2 Mohran Shell
Damascus Mail : 4 Sturdy Fang+, 6 Slvr Rthlos Cpc, 3 Rath Fluid, 3 Mohran Scale
Damascus Vambraces : 4 Mohran Scale+, 4 Slvr Rthlos Scl, 3 Rath Fluid, 3 Mohran Shell
Damascus Coil : 6 Mohran Carapace, 4 Gld Rathian Scl, 4 Slvr Rthlos Scl, 1 Sturdy Fang
Damascus Greaves : 6 Mohran Carapace, 6 Gld Rathian Cpc, 1 Slvr RthlosTail, 3 Mohran Scale
Damascus Cap : 4 Mohran Scale+, 4 Gld Rathian Scl, 1 GldRathianSpike, 2 Mohran Shell
